,Genre,Detector,Metric,Value,CI Lower,CI Upper,True Positives,False Positives,Total Detected as AI,False Negatives,Total AI
0,amazon review,gptzero,Precision,0.9846938775510204,0.9559725478180302,0.9947811202207711,193,3.0,196.0,,
1,amazon review,gptzero,Recall,0.9747474747474747,0.9422576306224986,0.9891664737138152,193,,,5.0,198.0
2,amazon review,originality,Precision,0.7831325301204819,0.714420204076594,0.8390371240263054,130,36.0,166.0,,
3,amazon review,originality,Recall,1.0,0.9712984388055687,1.0000000000000002,130,,,0.0,130.0
4,amazon review,pengram,Precision,0.9009009009009009,0.8545205925037493,0.9336429312774283,200,22.0,222.0,,
5,amazon review,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
6,amazon review,roberta-base-detector,Precision,0.45454545454545453,0.21271271622459764,0.719908462590678,5,6.0,11.0,,
7,amazon review,roberta-base-detector,Recall,0.025,0.010724719651761264,0.05717834040664198,5,,,195.0,200.0
8,blog,gptzero,Precision,0.9800995024875622,0.9499575439096811,0.992234535326293,197,4.0,201.0,,
9,blog,gptzero,Recall,0.9899497487437185,0.9641024146426398,0.9972395177893005,197,,,2.0,199.0
10,blog,originality,Precision,0.9788732394366197,0.9397300911612929,0.9927893796375162,139,3.0,142.0,,
11,blog,originality,Recall,1.0,0.9731068357015575,1.0,139,,,0.0,139.0
12,blog,pengram,Precision,0.9433962264150944,0.9036824935245683,0.967327186576682,200,12.0,212.0,,
13,blog,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
14,blog,roberta-base-detector,Precision,0.4166666666666667,0.19326031365875665,0.6804886874504503,5,7.0,12.0,,
15,blog,roberta-base-detector,Recall,0.025,0.010724719651761264,0.05717834040664198,5,,,195.0,200.0
16,news,gptzero,Precision,0.9966666666666667,0.9813633063054688,0.9994113422781489,299,1.0,300.0,,
17,news,gptzero,Recall,0.9966666666666667,0.9813633063054688,0.9994113422781489,299,,,1.0,300.0
18,news,originality,Precision,0.776,0.731125106416233,0.8152776042173285,291,84.0,375.0,,
19,news,originality,Recall,1.0,0.9869711036023928,0.9999999999999998,291,,,0.0,291.0
20,news,pengram,Precision,0.8086253369272237,0.765513504505698,0.8454114468603207,300,71.0,371.0,,
21,news,pengram,Recall,1.0,0.9873570287754537,0.9999999999999998,300,,,0.0,300.0
22,news,roberta-base-detector,Precision,0.20930232558139536,0.11422834220995602,0.35205642710736446,9,34.0,43.0,,
23,news,roberta-base-detector,Recall,0.03,0.01586185380943231,0.05602253914164095,9,,,291.0,300.0
24,novel,gptzero,Precision,1.0,0.9961230338249407,1.0,987,0.0,987.0,,
25,novel,gptzero,Recall,0.996969696969697,0.991128656644512,0.9989688999291771,987,,,3.0,990.0
26,novel,originality,Precision,0.9793510324483776,0.9686392463804353,0.986455192207853,996,21.0,1017.0,,
27,novel,originality,Recall,1.0,0.9961579320533225,0.9999999999999998,996,,,0.0,996.0
28,novel,pengram,Precision,0.9114963503649635,0.8932119189403934,0.9269062833386605,999,97.0,1096.0,,
29,novel,pengram,Recall,1.0,0.9961694255987266,0.9999999999999998,999,,,0.0,999.0
30,novel,roberta-base-detector,Precision,0.07142857142857142,0.03663590189789058,0.13464525273091846,8,104.0,112.0,,
31,novel,roberta-base-detector,Recall,0.008,0.004059195818806103,0.01570633453098014,8,,,992.0,1000.0
32,restaurant review,gptzero,Precision,0.98,0.9497129130941735,0.9921955735836506,196,4.0,200.0,,
33,restaurant review,gptzero,Recall,0.98,0.9497129130941735,0.9921955735836506,196,,,4.0,200.0
34,restaurant review,originality,Precision,0.8023255813953488,0.7364891478901505,0.8549527151237876,138,34.0,172.0,,
35,restaurant review,originality,Recall,1.0,0.972917235534427,1.0000000000000002,138,,,0.0,138.0
36,restaurant review,pengram,Precision,0.9615384615384616,0.9259538387998539,0.9803843306446446,200,8.0,208.0,,
37,restaurant review,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
38,restaurant review,roberta-base-detector,Precision,0.47368421052631576,0.32479023322526057,0.6274102861550331,18,20.0,38.0,,
39,restaurant review,roberta-base-detector,Recall,0.09,0.057687448862193166,0.1377657187671654,18,,,182.0,200.0
40,resume,gptzero,Precision,1.0,0.9810617669433649,0.9999999999999998,199,0.0,199.0,,
41,resume,gptzero,Recall,0.995,0.9722262956021069,0.9991168312843989,199,,,1.0,200.0
42,resume,originality,Precision,0.9478672985781991,0.9090746836470733,0.9706437889301339,200,11.0,211.0,,
43,resume,originality,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
44,resume,pengram,Precision,1.0,0.9811546736227333,1.0,200,0.0,200.0,,
45,resume,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
46,resume,roberta-base-detector,Precision,0.175,0.0874541374603592,0.31949990331787714,7,33.0,40.0,,
47,resume,roberta-base-detector,Recall,0.035,0.017055542008567195,0.07047061152229074,7,,,193.0,200.0
